plz,abgefrage_plz,ort,angebotenes_impfzentrum,public_key_impfzentrum,distanz_zum_impfzentrum(km),json_daten_impfzentrum
21255,21255,Tostedt,IZ Harburg - Buchholz,437683354674822,20,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21255,21255,Wistedt,IZ Harburg - Buchholz,437683354674822,20,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21255-21279,21255,Drestedt,IZ Harburg - Buchholz,437683354674822,20,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21256,21256,Handeloh,IZ Harburg - Buchholz,437683354674822,10,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 10, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21258,21258,Heidenau (Nordheide),IZ Harburg - Buchholz,437683354674822,30,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 30, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21259,21259,Otter,IZ Harburg - Buchholz,437683354674822,20,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21261,21261,Welle,IZ Harburg - Buchholz,437683354674822,15,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21266,21266,Jesteburg,IZ Harburg - Buchholz,437683354674822,10,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 10, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21271,21271,Asendorf (Nordheide),IZ Harburg - Buchholz,437683354674822,20,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21271,21271,Hanstedt (Nordheide),IZ Harburg - Buchholz,437683354674822,20,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21272,21272,Egestorf,IZ Harburg - Winsen,810451667340277,30,"{'resultList': [{'vaccinationCenterPk': 810451667340277, 'name': 'IZ Harburg - Winsen', 'streetName': 'Luhdorfer Straße', 'streetNumber': '29', 'zipcode': '21423', 'city': 'Winsen (Luhe)', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 30, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21274-29640,21274,Undeloh,IZ Harburg - Buchholz,437683354674822,20,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21279,21279,Appel,IZ Harburg - Buchholz,437683354674822,15,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21279,21279,Hollenstedt,IZ Harburg - Buchholz,437683354674822,15,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21279,21279,Wenzendorf,IZ Harburg - Buchholz,437683354674822,15,"{'resultList': [{'vaccinationCenterPk': 437683354674822, 'name': 'IZ Harburg - Buchholz', 'streetName': 'Richard-Schmidt-Straße', 'streetNumber': '27', 'zipcode': '21244', 'city': 'Buchholz', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21335-21391,21335,Lüneburg,IZ Lüneburg,588751894396000,10,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 10, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21357,21357,Bardowick,IZ Lüneburg,588751894396000,15,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21357,21357,Barum,IZ Lüneburg,588751894396000,15,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21357,21357,Wittorf,IZ Lüneburg,588751894396000,15,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21358,21358,Mechtersen,IZ Lüneburg,588751894396000,20,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21360,21360,Vögelsen,IZ Lüneburg,588751894396000,15,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21365,21365,Adendorf,IZ Lüneburg,588751894396000,10,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 10, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21368,21368,Boitze,IZ Lüneburg,588751894396000,35,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 35, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21368,21368,Dahlem (Niedersachsen),IZ Lüneburg,588751894396000,35,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 35, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21368,21368,Dahlenburg,IZ Lüneburg,588751894396000,35,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 35, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21369,21369,Nahrendorf,IZ Lüneburg,588751894396000,45,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 45, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21371,21371,Tosterglope,IZ Lüneburg,588751894396000,45,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 45, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21376,21376,Eyendorf,IZ Harburg - Winsen,810451667340277,20,"{'resultList': [{'vaccinationCenterPk': 810451667340277, 'name': 'IZ Harburg - Winsen', 'streetName': 'Luhdorfer Straße', 'streetNumber': '29', 'zipcode': '21423', 'city': 'Winsen (Luhe)', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21376,21376,Garlstorf,IZ Harburg - Winsen,810451667340277,20,"{'resultList': [{'vaccinationCenterPk': 810451667340277, 'name': 'IZ Harburg - Winsen', 'streetName': 'Luhdorfer Straße', 'streetNumber': '29', 'zipcode': '21423', 'city': 'Winsen (Luhe)', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21376,21376,Gödenstorf,IZ Harburg - Winsen,810451667340277,20,"{'resultList': [{'vaccinationCenterPk': 810451667340277, 'name': 'IZ Harburg - Winsen', 'streetName': 'Luhdorfer Straße', 'streetNumber': '29', 'zipcode': '21423', 'city': 'Winsen (Luhe)', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21376,21376,Salzhausen,IZ Harburg - Winsen,810451667340277,20,"{'resultList': [{'vaccinationCenterPk': 810451667340277, 'name': 'IZ Harburg - Winsen', 'streetName': 'Luhdorfer Straße', 'streetNumber': '29', 'zipcode': '21423', 'city': 'Winsen (Luhe)', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21379,21379,Echem,IZ Lüneburg,588751894396000,15,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21379,21379,Lüdersburg,IZ Lüneburg,588751894396000,15,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21379,21379,Rullstorf,IZ Lüneburg,588751894396000,15,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21379,21379,Scharnebeck,IZ Lüneburg,588751894396000,15,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21380,21380,Artlenburg,IZ Lüneburg,588751894396000,15,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21382,21382,Brietlingen,IZ Lüneburg,588751894396000,15,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21385,21385,Amelinghausen,IZ Lüneburg,588751894396000,35,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 35, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21385,21385,Oldendorf (Luhe),IZ Lüneburg,588751894396000,35,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 35, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21385,21385,Rehlingen,IZ Lüneburg,588751894396000,35,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 35, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21386,21386,Betzendorf,IZ Lüneburg,588751894396000,25,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 25, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21388,21388,Soderstorf,IZ Lüneburg,588751894396000,40,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 40, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21391,21391,Reppenstedt,IZ Lüneburg,588751894396000,15,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21394,21394,Kirchgellersen,IZ Lüneburg,588751894396000,25,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 25, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21394,21394,Südergellersen,IZ Lüneburg,588751894396000,25,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 25, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21394,21394,Westergellersen,IZ Lüneburg,588751894396000,25,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 25, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21395,21395,Tespe,IZ Harburg - Winsen,810451667340277,25,"{'resultList': [{'vaccinationCenterPk': 810451667340277, 'name': 'IZ Harburg - Winsen', 'streetName': 'Luhdorfer Straße', 'streetNumber': '29', 'zipcode': '21423', 'city': 'Winsen (Luhe)', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 25, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
21397,21397,Barendorf,IZ Lüneburg,588751894396000,15,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21397,21397,Vastorf,IZ Lüneburg,588751894396000,15,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21398,21398,Neetze,IZ Lüneburg,588751894396000,25,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 25, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
21400,21400,Reinstorf,IZ Lüneburg,588751894396000,15,"{'resultList': [{'vaccinationCenterPk': 588751894396000, 'name': 'IZ Lüneburg', 'streetName': 'Lilienthalstraße', 'streetNumber': '1', 'zipcode': '21337', 'city': 'Lüneburg', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
